Metric,Group,p-value,Test Used,corrected_p-value,significant
bleu_score,SSP,0.0050163849443111775,t-test,0.0066297441374583285,True
bleu_score,CEP,0.002625112210224334,Wilcoxon,0.005250224420448668,True
bleu_score,CT,1.6942201216312e-05,t-test,5.0826603648936e-05,True
bleu_score,EXP,1.4988931053447023e-05,Wilcoxon,5.0826603648936e-05,True
bleu_score,POP,0.4151392918786695,Wilcoxon,0.4151392918786695,False
bleu_score,PSP,0.005524786781215274,Wilcoxon,0.0066297441374583285,True
rouge_1,SSP,0.18617697856246757,t-test,0.2792654678437014,False
rouge_1,CEP,0.7965038710035247,Wilcoxon,0.7965038710035247,False
rouge_1,CT,0.00010865602869873428,t-test,0.00021731205739746856,True
rouge_1,EXP,1.479815745402138e-13,Wilcoxon,8.878894472412827e-13,True
rouge_1,POP,0.7491470801654898,Wilcoxon,0.7965038710035247,False
rouge_1,PSP,4.381370991766628e-07,t-test,1.3144112975299884e-06,True
rouge_2,SSP,0.007647326844151167,t-test,0.015294653688302334,True
rouge_2,CEP,0.026243558978813347,t-test,0.039365338468220025,True
rouge_2,CT,8.33848603093531e-12,t-test,5.003091618561186e-11,True
rouge_2,EXP,1.8141414973495865e-09,Wilcoxon,5.44242449204876e-09,True
rouge_2,POP,0.29427409661092113,t-test,0.29427409661092113,False
rouge_2,PSP,0.2222354912869362,Wilcoxon,0.26668258954432345,False
rouge_L,SSP,0.5565634724328369,Wilcoxon,0.6678761669194042,False
rouge_L,CEP,0.7560775156151568,Wilcoxon,0.7560775156151568,False
rouge_L,CT,0.0017343431991457034,Wilcoxon,0.0034686863982914067,True
rouge_L,EXP,5.72761953691213e-09,Wilcoxon,3.436571722147278e-08,True
rouge_L,POP,0.03030013505145984,Wilcoxon,0.04545020257718976,True
rouge_L,PSP,0.00020729813201954863,Wilcoxon,0.000621894396058646,True
context_similarity,SSP,0.2565231689671974,Wilcoxon,0.3847847534507961,False
context_similarity,CEP,0.00029790182071668823,Wilcoxon,0.0017874109243001294,True
context_similarity,CT,0.021434665299879318,Wilcoxon,0.042869330599758636,True
context_similarity,EXP,0.48923079050969676,t-test,0.5870769486116361,False
context_similarity,POP,0.0023429656766318935,Wilcoxon,0.007028897029895681,True
context_similarity,PSP,0.6229452589763703,Wilcoxon,0.6229452589763703,False
